"","date","revenue","fb_paid_total_impressions","fb_paid_spend","google_paid_total_impressions","google_paid_spend","pinterest_paid_total_impressions","pinterest_paid_spend","mountain_paid_total_impressions","mountain_paid_spend","fb_organic_total_impressions","instagram_organic_total_impressions","google_organic_total_impressions"
"251",2022-10-06,13087.61,21012,467.5,38725,955.65,2,0.01,0,0,41201,45784,2854
"252",2022-10-07,8129.05,25942,514.1,44925,901.56,0,0,0,0,43106,100225,3104
"253",2022-10-08,5029.52,30655,543.17,50518,949.07,0,0,0,0,52240,78613,3150
"254",2022-10-09,5044.1,25840,506.73,51544,994.95,0,0,0,0,60216,53737,3327
"255",2022-10-10,14258.08,30379,579.23,52912,1075.55,0,0,0,0,51109,54424,3255
"256",2022-10-11,6970.84,26383,530.09,59578,1319.8,0,0,0,0,51124,44131,3294
"257",2022-10-12,7718.61,26230,509.13,57562,1050.32,0,0,0,0,42262,41264,2949
"258",2022-10-13,10602.11,22649,464.21,63950,1072.61,0,0,0,0,42442,41387,3062
"259",2022-10-14,4435.49,23361,519.95,56623,1022.51,0,0,0,0,40823,52920,2938
"260",2022-10-15,4835.57,25561,531.03,53991,766.43,0,0,0,0,39089,43532,2788
"261",2022-10-16,10624.03,34729,698.39,61073,890.29,0,0,0,0,45117,49148,3062
"262",2022-10-17,12194.45,26594,608.74,63734,1174.21,0,0,0,0,50902,59625,2947
"263",2022-10-18,8665.33,28090,650.07,59773,900.51,0,0,0,0,43411,55240,2727
"264",2022-10-19,2647.04,24549,524.07,59995,1012.43,0,0,0,0,47051,50612,2720
"265",2022-10-20,10983.45,25268,515.48,49808,946.51,0,0,0,0,24068,56567,2837
"266",2022-10-21,11917.24,20337,446.83,48217,861.33,0,0,0,0,6752,54354,2742
"267",2022-10-22,5493.42,22736,455.08,47196,750.31,0,0,0,0,5865,57776,2816
"268",2022-10-23,10791.45,37292,832.33,64049,912.35,0,0,0,0,6198,71437,2797
"269",2022-10-24,9949.04,29767,578.88,69670,1156.37,0,0,0,0,9026,60053,3113
"270",2022-10-25,4149.59,30509,507.7,63825,863.2,0,0,0,0,8330,59278,3192
"271",2022-10-26,6131.13,20343,402.44,54910,1325.9,0,0,0,0,7564,50339,3254
"272",2022-10-27,7442.86,20136,377.39,51002,1033.89,0,0,0,0,8179,49862,2854
"273",2022-10-28,18244.53,21601,372.2,45395,729.76,0,0,0,0,8205,49293,2971
"274",2022-10-29,5126.4,30802,494.21,43493,779.19,0,0,0,0,9745,63502,2786
"275",2022-10-30,4209.27,35398,506.97,49422,733.03,0,0,0,0,7877,76155,2916
"276",2022-10-31,12683.22,56309,925.75,41299,655.41,0,0,0,0,9272,80169,2685
"277",2022-11-01,7462.91,49185,944.13,45545,847.13,0,0,0,0,26243,78726,3479
"278",2022-11-02,7616.69,45158,909.47,50042,1057.17,0,0,0,0,25680,83711,3517
"279",2022-11-03,7650.98,43375,883.03,54727,1092.5,0,0,0,0,32129,87175,3292
"280",2022-11-04,6437.9,43377,892.12,64839,1059.63,0,0,0,0,35701,85432,3219
"281",2022-11-05,6613.44,46831,917.78,74266,1185.65,0,0,0,0,37348,107674,3459
"282",2022-11-06,8943.54,42859,877.72,91861,1316.83,0,0,0,0,46093,127343,3566
"283",2022-11-07,11358.3,41383,902.33,96479,1547.78,0,0,0,0,50110,96269,3257
"284",2022-11-08,11095.42,44106,967.95,120218,1695.3,0,0,0,0,49498,89909,2957
"285",2022-11-09,8372.73,45583,991.76,104206,1918.27,0,0,0,0,51163,85457,2721
"286",2022-11-10,6929.33,41978,1070.9,92169,1453.34,0,0,0,0,51270,68489,2643
"287",2022-11-11,28713,40271,1116.62,93618,1704.33,0,0,0,0,51083,64739,2917
"288",2022-11-12,12007.06,43355,1134,101092,1703.78,0,0,0,0,59194,81953,2677
"289",2022-11-13,9631.4,48137,1227.1,139154,2045.78,0,0,0,0,57780,82514,2787
"290",2022-11-14,8757.52,48997,1260.09,109069,1913.5,0,0,0,0,57607,69387,2823
"291",2022-11-15,12706.48,52820,1219.37,85552,1339.3,0,0,0,0,61627,75491,2795
"292",2022-11-16,7283.14,49998,1186.08,72046,1336.25,0,0,0,0,53595,80151,2677
"293",2022-11-17,4728.96,45341,1186.47,69680,1129.06,0,0,0,0,56135,74903,2628
"294",2022-11-18,10603.3,39676,1171.53,63574,1265.56,0,0,0,0,60011,68207,2587
"295",2022-11-19,11230.81,39483,1246.2,68070,1195.71,0,0,0,0,58990,90933,2864
"296",2022-11-20,32479.19,59099,2018.31,75342,1573.69,0,0,0,0,84800,141742,2597
"297",2022-11-21,22233.45,66139,2273.26,103688,2271.49,0,0,0,0,110017,133494,2698
"298",2022-11-22,19578.18,67389,2206.1,99973,2112.95,0,0,0,0,93539,143721,2696
"299",2022-11-23,19065.95,61639,2159.65,90613,2203.75,0,0,0,0,89957,128962,2519
"300",2022-11-24,17019.19,55161,2157.87,84928,1943.07,0,0,0,0,78629,129738,2387
"301",2022-11-25,52248.3,50473,2607.75,139282,4160.63,0,0,0,0,68044,118346,3387
"302",2022-11-26,26943.68,65355,2689.17,164198,4795.42,0,0,0,0,64764,140325,3363
"303",2022-11-27,28747.41,71358,2869.66,209870,5230.28,0,0,0,0,83668,130839,3194
"304",2022-11-28,58685.79,50403,2760.46,215729,6671.27,0,0,0,0,76311,113754,3360
"305",2022-11-29,33851.9,65107,2687.15,148007,3188.42,0,0,0,0,74820,138010,2989
"306",2022-11-30,28705.75,82446,2585.12,172986,3848.8,0,0,0,0,92280,164927,2945
"307",2022-12-01,11205.66,37596,1165.89,179227,3457,0,0,0,0,127313,125880,3514
"308",2022-12-02,5912.64,18134,560.77,139947,2694.51,0,0,0,0,90710,56341,3469
"309",2022-12-03,6723.28,17836,569.01,169029,2825.01,0,0,0,0,40753,54269,3431
"310",2022-12-04,6709.32,20329,587.65,162208,2921.51,0,0,0,0,35471,53338,3342
"311",2022-12-05,11926.74,19524,566.6,173571,2999.76,0,0,0,0,42539,48739,3126
"312",2022-12-06,8706.35,20911,559.21,154846,2758.91,0,0,0,0,45011,55018,2846
"313",2022-12-07,6653.42,18403,542.5,70588,1168.84,0,0,0,0,43046,44042,3067
"314",2022-12-08,50184.36,17305,511.79,52103,1311.71,0,0,0,0,39866,41039,3008
"315",2022-12-09,54674.79,22344,579.01,58783,1277.36,0,0,0,0,33703,55923,3104
"316",2022-12-10,29946.97,29980,676.17,71057,1446.6,0,0,0,0,36423,69219,3610
"317",2022-12-11,25817.9,39790,821.91,103417,2095.27,0,0,0,0,36234,96883,3368
"318",2022-12-12,45504.33,39982,796.65,120132,2590.49,0,0,0,0,34333,83598,3908
"319",2022-12-13,29825.07,42444,947.62,149365,3167.34,0,0,0,0,29031,92670,3764
"320",2022-12-14,25806.72,44241,926.92,174106,3606.35,0,0,0,0,30399,82187,3297
"321",2022-12-15,52336.65,43345,943.19,222182,4431.25,0,0,0,0,33162,72482,3190
"322",2022-12-16,24100.04,27553,638.74,204923,3912.23,0,0,0,0,35645,56847,3365
"323",2022-12-17,10995.33,12023,353.11,194592,3393.49,0,0,0,0,40624,38823,3158
"324",2022-12-18,14747.72,13668,393.88,196009,3187.98,0,0,0,0,32456,46590,3342
"325",2022-12-19,16101.87,59939,1037.01,160395,2618.15,0,0,0,0,32121,98861,3368
"326",2022-12-20,18061.52,51186,1036.04,117827,1750.38,0,0,0,0,40258,84139,3033
"327",2022-12-21,14797.89,60599,1022.26,94057,1298.47,0,0,0,0,42533,94268,2770
"328",2022-12-22,14014.54,53917,1029.51,97156,1356.98,0,0,0,0,46561,93248,2806
"329",2022-12-23,15318.39,57426,1014.46,86027,1286.98,0,0,0,0,51954,102614,3111
"330",2022-12-24,12213.71,66671,1042.1,68898,1001.68,0,0,0,0,66008,108253,2436
"331",2022-12-25,11568.85,67400,1008.12,90543,1077.04,0,0,0,0,65540,118359,2435
"332",2022-12-26,10875.03,63613,961.69,139400,1634.94,0,0,0,0,37179,130748,2733
"333",2022-12-27,15642.75,61489,904.37,144215,1805.94,0,0,0,0,41216,136584,2691
"334",2022-12-28,14729.94,55336,925.25,129114,1705.6,0,0,0,0,44184,125185,2587
"335",2022-12-29,14793.74,51999,906.45,127004,1602.69,0,0,0,0,45524,122108,2733
"336",2022-12-30,14300,52426,921.3,102927,1268.4,0,0,0,0,51429,118932,2706
"337",2022-12-31,12413.13,59858,966.82,95741,1056.38,0,0,0,0,48871,151656,2615
"338",2023-01-01,10790.56,79007,982.04,122234,1569.37,0,0,0,0,62054,184673,2771
"339",2023-01-02,14400.03,66625,959.21,156675,2260.23,0,0,0,0,53922,163060,3226
"340",2023-01-03,21397,50036,903.78,154452,2146.56,0,0,0,0,58526,152976,3740
"341",2023-01-04,19942.52,47686,927.67,155075,2066.84,0,0,0,0,59520,63984,3871
"342",2023-01-05,15926.89,51796,924.82,147577,1874.41,0,0,0,0,40343,101633,3345
"343",2023-01-06,12425.09,57461,936.93,123782,1683.33,0,0,0,0,48381,98222,3244
"344",2023-01-07,11032.12,55004,959.55,135634,1536.18,0,0,0,0,44287,79664,3249
"345",2023-01-08,15832.39,55152,959.43,151553,2033.35,0,0,0,0,48834,79616,3367
"346",2023-01-09,19935.36,55333,956.46,138899,1953.74,0,0,0,0,40359,102295,3456
"347",2023-01-10,15607.41,53583,923.83,120545,1707.17,0,0,0,0,45196,98295,4161
"348",2023-01-11,22512.63,49747,920.82,101443,1303.56,0,0,0,0,37231,79804,3955
"349",2023-01-12,16279.35,52378,918.78,105959,1532.52,0,0,0,0,38656,71998,4139
"350",2023-01-13,25015.37,53376,966.69,111103,1315.74,0,0,0,0,38949,85829,4167
"351",2023-01-14,8958.97,57039,1181.02,140224,1561.73,0,0,0,0,43622,87296,4254
"352",2023-01-15,16205.8,58036,1191.4,182738,2215.21,0,0,0,0,38936,142762,4613
"353",2023-01-16,15027.48,57085,1155.37,190211,2309.96,0,0,0,0,39615,138368,4405
"354",2023-01-17,12136.74,63671,1136.89,176916,2203.53,0,0,0,0,42877,123395,4024
"355",2023-01-18,18315.3,61995,1097.93,156143,2147.2,0,0,0,0,52625,103444,3983
"356",2023-01-19,10031.91,63334,1093.29,135683,1615.24,0,0,0,0,47327,97800,4184
"357",2023-01-20,10130.16,64473,1142.8,122681,1767.75,0,0,0,0,48515,86201,4273
"358",2023-01-21,7065.87,69448,1176.32,129101,1638.24,0,0,0,0,44524,83846,4555
"359",2023-01-22,13606.85,71115,1195.14,144652,1787.49,0,0,0,0,46151,88908,4421
"360",2023-01-23,11619.91,67625,1161.27,120996,1510.55,0,0,0,0,45248,94227,4687
"361",2023-01-24,9165.43,65768,1134.1,109262,1429.97,0,0,0,0,48729,81825,4869
"362",2023-01-25,13657.41,61777,1124.05,114542,1710.58,0,0,0,0,47039,81432,4498
"363",2023-01-26,16425.82,68642,1093.81,100790,1355.94,0,0,0,0,46330,85009,4218
"364",2023-01-27,14533.95,63877,1104.99,95191,1165.65,0,0,0,0,49016,99538,4223
"365",2023-01-28,7443.38,68753,1180.64,103768,1128.34,0,0,0,0,49528,89164,4500
"366",2023-01-29,12860.13,70322,1217.79,123144,1535.48,0,0,0,0,56068,87774,4861
"367",2023-01-30,12922.65,70870,1156.48,115056,1545.71,0,0,0,0,52988,82475,4755
"368",2023-01-31,16505.07,65697,1133.75,116614,1687.54,0,0,0,0,55193,71491,4487
"369",2023-02-01,26998.42,68913,1088.33,127498,1788.95,0,0,0,0,55169,72086,5099
"370",2023-02-02,12032.51,63728,1073.4,125000,1872.82,0,0,0,0,56287,72055,5782
"371",2023-02-03,13125.21,71666,1136.84,110958,1510.71,0,0,0,0,50215,83815,4881
"372",2023-02-04,17101.42,71330,1187.34,130757,1590.93,0,0,0,0,51387,81198,5273
"373",2023-02-05,15355.06,68623,1182.21,150282,2011.86,0,0,0,0,58977,100114,5683
"374",2023-02-06,19321.25,70943,1140.53,153194,1956.91,0,0,0,0,54303,90727,5398
"375",2023-02-07,16285.98,74228,1142.23,159521,2234.77,0,0,0,0,52510,90541,5194
"376",2023-02-08,13696.98,68168,1087.27,144348,2124.66,0,0,0,0,51573,69450,5234
"377",2023-02-09,10278.31,67579,1126.2,118880,1646.41,0,0,0,0,59898,81856,4774
"378",2023-02-10,14565.95,63891,1132.95,110070,1650.39,4509,24.07,0,0,44738,80900,4964
"379",2023-02-11,14747.79,63993,1182.58,113804,1592.23,33493,110,0,0,47894,87341,4877
"380",2023-02-12,9183.73,64155,1117.59,130982,1752.38,24583,110,0,0,48474,90959,4991
"381",2023-02-13,11877.92,62682,1081.94,108671,1737.13,26627,109.86,0,0,52835,81406,5465
"382",2023-02-14,11330.77,65468,1075.63,89117,1485.96,25556,110,0,0,55469,94190,4743
"383",2023-02-15,9893.17,63673,1027.58,102506,1596.93,29381,110,0,0,54249,88479,4856
"384",2023-02-16,27398.38,66724,1223.6,107586,1803.22,30566,110,0,0,51916,103774,4900
"385",2023-02-17,18309.98,75855,1211.16,111800,1785.09,28078,110,0,0,44050,109434,4681
"386",2023-02-18,18530.06,95917,1326.72,126800,1807.48,25250,110,0,0,40513,113871,5072
"387",2023-02-19,24646.27,101058,1496.27,150715,2058.14,26841,110,0,0,55675,118125,5493
"388",2023-02-20,48216.86,118250,1628.8,149379,2277.13,41416,110,0,0,62652,122178,5557
"389",2023-02-21,21963.17,119229,1758.19,161971,2701.08,25531,110,0,0,61902,103582,4940
"390",2023-02-22,21533.02,107419,1634.84,162242,2455.61,20802,110,0,0,75404,101011,5243
"391",2023-02-23,14856.25,73508,1136.88,190169,2673.38,17790,110,0,0,71875,76472,5011
"392",2023-02-24,17055.44,71934,1161.01,175678,2156.28,20023,110,0,0,54994,88067,4998
"393",2023-02-25,13036.25,80338,1232,186184,2496.74,24422,110,0,0,61015,87495,4757
"394",2023-02-26,20001.9,77808,1198.16,198059,2669.2,29670,110,0,0,66144,86349,4799
"395",2023-02-27,14591.17,80079,1392.05,170792,2180.99,30654,112.18,0,0,62299,104481,4880
"396",2023-02-28,17300.52,99539,1602.05,168949,2562.44,38352,120,0,0,57183,107374,4064
"397",2023-03-01,14450.18,133116,2015.02,161436,2306.58,33800,188.42,0,0,60347,139542,4279
"398",2023-03-02,17732.13,143573,2139.93,145034,2149.93,29476,277,0,0,64184,130805,5495
"399",2023-03-03,27716.59,146969,2212.9,125116,2114.46,28720,277,0,0,80064,112841,5225
"400",2023-03-04,27150.41,163772,2362.32,165562,2333.93,29085,277,0,0,106689,134710,5813
"401",2023-03-05,16420.77,144394,2303.66,175456,2878.97,28214,277,0,0,94119,148025,6428
"402",2023-03-06,33213.25,145474,2254.88,199424,2434.42,28917,277,0,0,77018,147706,5889
"403",2023-03-07,17441.94,135141,2225.27,165134,2387.34,27950,277,0,0,76504,137639,6084
"404",2023-03-08,26576.23,120592,2106.65,133127,1930.35,28055,277,0,0,63271,116358,8763
"405",2023-03-09,18572.97,111285,2114.99,181539,2357.53,30442,276.68,0,0,65294,117729,11689
"406",2023-03-10,20402.99,117055,2216.31,156321,1977.82,31913,276.26,0,0,57179,124923,11635
"407",2023-03-11,23645.55,143167,2442.56,165691,2119.33,37466,275.61,0,0,59432,143464,13478
"408",2023-03-12,24534.06,149046,2418.38,181174,2758.69,37447,275.75,0,0,70275,143809,14696
"409",2023-03-13,20921.04,150796,2355.52,153032,2710.68,36776,274.53,0,0,77781,137563,12673
"410",2023-03-14,21236,140976,2334.78,176225,2880.07,36422,275.53,0,0,82507,164115,12006
"411",2023-03-15,23018.87,133655,2268.86,150044,3044.37,34488,277,0,0,57536,154036,11330
"412",2023-03-16,27495.05,131396,2322.9,137246,2665.58,32067,276.26,0,0,57908,145251,11525
"413",2023-03-17,20939.83,128351,2265.41,151213,2222.37,31271,274.9,0,0,62362,138194,10928
"414",2023-03-18,19810.87,129053,2470.09,198531,2715.94,30378,275.95,0,0,68366,146502,13646
"415",2023-03-19,20355.04,134779,2475.85,218579,2763.69,31315,276.88,0,0,70017,140392,15670
"416",2023-03-20,20900.93,132421,2301.42,163457,2922.64,31791,276.67,0,0,74281,142441,13725
"417",2023-03-21,21314.1,125891,2275.91,162594,2630.44,31670,276.75,0,0,69911,128782,14057
"418",2023-03-22,30508.6,146973,2344.93,142238,2234.6,30417,277,0,0,74746,119249,14145
"419",2023-03-23,27001.42,122754,2285.66,143307,2411.84,31786,277,0,0,114682,150437,15184
"420",2023-03-24,22137.54,121511,2315.43,146215,2448.59,27216,277,0,0,78895,146449,15731
"421",2023-03-25,18672.84,134559,2536.67,200038,3064.2,27157,277,0,0,76452,135101,17297
"422",2023-03-26,30283.6,128021,2480.85,257716,3856.58,33014,277,0,0,105898,137887,18424
"423",2023-03-27,32789.14,126929,2323.33,197448,3651.93,35115,277,0,0,104275,146418,15099
"424",2023-03-28,18698.43,96122,2311.95,204280,3412.72,38626,277,0,0,98969,123026,13944
"425",2023-03-29,23645.59,91814,2208.07,176995,2748.77,44756,277,0,0,71526,118081,13286
"426",2023-03-30,15719.8,97903,2228.86,168297,2568.93,40889,277,0,0,67208,115367,12989
"427",2023-03-31,24163.67,94549,2296.04,153258,2373.71,41169,277,0,0,78264,97842,12367
"428",2023-04-01,24033.9,105564,2437.06,167904,2444.1,47442,277,0,0,77108,114882,15778
"429",2023-04-02,27456.81,91688,2302.37,176146,3029.61,40476,277,0,0,78199,144711,17838
"430",2023-04-03,35497.47,86359,2262.37,158892,2622.71,40051,277,0,0,68780,119844,14816
"431",2023-04-04,23002.37,94646,2142.45,153922,3179.98,44352,277,0,0,69086,114967,13643
"432",2023-04-05,25544.96,96854,2126.31,147650,3041.11,44293,277,0,0,73734,130118,13731
"433",2023-04-06,16287.15,99179,2159.94,148525,2600.81,49784,277,0,0,81470,119311,13031
"434",2023-04-07,24870.32,101251,2196.91,154544,2363.56,40605,277,0,0,89564,127608,13405
"435",2023-04-08,13098.4,103863,2370.62,189819,3174.8,39617,277,0,0,82929,129544,15848
"436",2023-04-09,28959.19,105353,2264.84,178567,2569.22,37417,277,0,0,78705,141334,14563
"437",2023-04-10,26533.56,114316,2258.58,191461,3654.17,43383,277,0,0,90124,138780,14514
"438",2023-04-11,27511.41,102753,2147.41,186266,3448.38,34794,277,0,0,92047,125735,14943
"439",2023-04-12,27175.32,101265,2139.32,163265,2661.98,35668,277,0,0,80051,117516,15504
"440",2023-04-13,24758.8,93876,2210.16,194855,3145.42,24969,277,0,0,80090,113819,17255
"441",2023-04-14,25132,96928,2171.96,188420,2908.34,37284,277,0,0,74841,119322,17258
"442",2023-04-15,25994.5,113566,2368.7,200488,3023.62,43947,277,0,0,77861,142203,18925
"443",2023-04-16,18515.48,102708,2355.27,244564,3765.8,44829,277,0,0,86011,123459,19039
"444",2023-04-17,42675.66,94030,2184.95,191475,3229.92,41577,277,0,0,82215,121832,14582
"445",2023-04-18,25337.59,96263,2176.99,210965,3758.87,28968,277,0,0,70133,111231,14050
"446",2023-04-19,25094.32,87337,1950.85,206747,4080.34,32723,276.9,0,0,76141,97148,15221
"447",2023-04-20,43721.37,103117,2222.27,224562,3796.72,34962,276.05,0,0,68624,106596,15755
"448",2023-04-21,24735.12,93549,2298.46,257628,4463.15,36222,276.11,0,0,78010,118132,15916
"449",2023-04-22,32811.84,96245,2432.44,329271,4986.58,40154,277,0,0,75917,136318,18208
"450",2023-04-23,38440.71,107268,2440.48,376456,5420.68,35453,277,0,0,63550,96087,19813
"451",2023-04-24,36708.23,104012,2161.59,264049,4591.27,27316,277,0,0,68640,130817,14688
"452",2023-04-25,22617.49,105392,2200.81,232760,3724.17,28313,277,0,0,73748,120850,14477
"453",2023-04-26,36089.92,104526,2179.4,204361,3419.69,28728,277,0,0,75165,120719,13827
"454",2023-04-27,36629.44,102203,2096.99,158377,2966.28,22525,277,0,0,70870,104399,14563
"455",2023-04-28,45435.41,101093,2135.69,198584,3548.61,29044,277,0,0,79806,117295,14942
"456",2023-04-29,35271.44,111203,2346.04,295631,4049.02,34365,277,0,0,82442,119158,18398
"457",2023-04-30,29282.74,109975,2266.62,314041,4858.77,40581,277,0,0,89977,118104,18612
"458",2023-05-01,31120.84,184825,2322.8,294052,4387.04,41481,277,0,0,94041,185616,16173
"459",2023-05-02,20917.52,169871,2262.15,258377,4506.84,32600,277,0,0,114996,142177,15974
"460",2023-05-03,50939.88,134484,1962.15,239038,3615.55,28883,277,0,0,121565,115064,15896
"461",2023-05-04,50102.51,241079,3020.26,203495,3316.07,18397,146.13,0,0,94641,162847,16578
"462",2023-05-05,38510.5,208391,3143.19,201734,3465.91,18316,146.01,0,0,116468,139168,16296
"463",2023-05-06,38577.81,155761,3307.33,264960,4666.61,18148,146,0,0,109677,119774,19346
"464",2023-05-07,53510.11,145295,3085.74,407029,7430.35,19579,146,0,0,80751,143303,23938
"465",2023-05-08,89595.36,131147,2955.63,359358,7468.86,18933,146,0,0,71901,112164,19270
"466",2023-05-09,54143.08,137744,2888.24,294662,6365.31,20788,145.83,0,0,71061,110616,18640
"467",2023-05-10,48343.92,115462,2554.89,291170,4996.35,18510,146,0,0,66969,107147,18919
"468",2023-05-11,52413.26,120899,2513.44,264819,4784.88,16754,146,0,0,51568,104017,19437
"469",2023-05-12,52153.37,116877,2524.64,264299,4955.62,17354,145.67,0,0,54859,95152,21483
"470",2023-05-13,35272.66,123181,2676.15,337864,5711.21,17477,146,0,0,61595,97797,26087
"471",2023-05-14,46311,135991,2674.01,382384,6017.81,17200,146,0,0,68052,104561,25911
"472",2023-05-15,57921.1,129902,2581.76,289341,5269.36,17688,146,0,0,70209,113421,20933
"473",2023-05-16,52460.02,117079,2511.65,209887,4018.45,17041,146,0,0,69151,96192,20432
"474",2023-05-17,37520.34,113669,2438.84,163364,3637.26,17411,146,0,0,63793,99117,19741
"475",2023-05-18,56295.09,112149,2474.23,148291,2968.36,11385,146,0,0,61691,104556,19872
"476",2023-05-19,44604.62,103424,2160.45,171820,2936.95,10629,146,0,0,61105,106057,19370
"477",2023-05-20,53299.89,134281,2917.19,220874,3245.64,11391,146,0,0,62122,121619,22449
"478",2023-05-21,61047.84,119869,2453.9,313018,5724.42,12710,146,0,0,77903,101661,26102
"479",2023-05-22,103716.23,123475,2495.28,296397,6307.78,13369,146,0,0,72330,107087,22441
"480",2023-05-23,67961.39,131252,2583.1,305439,6256.63,14842,146,0,0,66230,109411,20928
"481",2023-05-24,60781.95,131862,2522.55,344191,6861.79,11530,146,0,0,64557,109490,19965
"482",2023-05-25,49019.38,115020,2520.8,279153,5594.45,10455,146,0,0,67533,96897,21053
"483",2023-05-26,77532.99,121090,2696.69,246009,5215.42,12215,146,0,0,58661,107919,25558
"484",2023-05-27,46081,106286,2486.67,267133,5162.38,13292,146,0,0,59214,101510,32428
"485",2023-05-28,67197.42,116487,2617.63,305668,6612.57,14185,146,0,0,51600,116099,37570
"486",2023-05-29,97101.61,120535,2653.98,351423,7664.84,18287,146,0,0,55702,103714,41055
"487",2023-05-30,50622.06,122934,2536.93,239858,5320.58,21142,146,0,0,49383,98882,26853
"488",2023-05-31,62794.59,122716,2584.95,219933,3967.12,21335,183.53,0,0,57164,92104,26176
"489",2023-06-01,31873.66,123401,2523.95,226003,4508.65,22051,169.82,0,0,60861,85441,27872
"490",2023-06-02,28919.61,128321,2481.28,226087,4561.83,19049,171.46,0,0,72152,85116,30453
"491",2023-06-03,34319.99,131950,2360.28,259407,5017.18,15557,166,0,0,77471,100501,37250
"492",2023-06-04,52156.61,153238,2578.98,371040,6352.79,16489,166,0,0,86767,134665,36595
"493",2023-06-05,48515.28,154513,2670.42,293400,5423.59,20884,166,0,0,90789,132319,28893
"494",2023-06-06,29914.93,139081,2500.79,228570,4208.96,23804,166,0,0,86951,111163,27029
"495",2023-06-07,38523.53,149320,2531.16,176698,4303.02,23697,166,0,0,86117,120589,27650
"496",2023-06-08,32033.71,139819,2446.45,166295,3693.12,20033,166,0,0,81240,112731,27101
